id,type,Df,Di,Heat of adsorption,Henry coefficient,density,surface area
zeo-NAB,zeolite,3.514500,4.251800,-27.173525,0.000020,1605.250008,1960.750000
zeo-EON,zeolite,6.727400,7.770660,-35.802571,0.000071,1680.131349,1248.360000
zeo-NAT,zeolite,4.320160,4.461000,-23.224302,0.000011,1620.337321,1829.180000
zeo-AWW,zeolite,4.106100,7.421460,-24.656124,0.000015,1688.966091,1097.110000
zeo-BOF,zeolite,4.605060,5.517180,-24.083810,0.000017,1822.983216,990.265000
zeo-SIV,zeolite,3.674900,5.323280,-31.856330,0.000116,1632.793867,1719.040000
zeo-BOG,zeolite,6.815420,7.987440,-19.401922,0.000006,1601.995217,1213.820000
zeo-SAO,zeolite,6.728840,8.576140,-15.865441,0.000004,1415.187474,1449.370000
zeo-SAF,zeolite,6.131880,6.602520,-17.093362,0.000002,1895.567640,564.197000
zeo-SAS,zeolite,4.158880,8.928400,-22.736319,0.000009,1491.306492,1354.740000
zeo-THO,zeolite,3.629920,5.095000,-23.738977,0.000011,1570.633702,1851.170000
zeo-VNI,zeolite,3.097200,4.743840,-27.176081,0.000007,1752.715094,1420.900000
zeo-IWW,zeolite,6.190460,7.013340,-19.988965,0.000007,1658.662245,1192.880000
zeo-IWV,zeolite,6.973160,8.479880,-18.983614,0.000005,1498.618910,1213.900000
zeo-IWR,zeolite,5.846820,7.422360,-19.490277,0.000007,1560.585285,1290.260000
zeo-GIS,zeolite,3.256320,4.908200,-32.357287,0.000153,1635.991377,1747.070000
zeo-WEI,zeolite,3.399780,4.132480,-39.011578,0.000234,1646.709445,1832.210000
zeo-SAV,zeolite,4.042560,8.756720,-24.990899,0.000022,1457.927318,1677.590000
zeo-IWS,zeolite,6.598300,8.187500,-16.563498,0.000004,1475.792717,1329.870000
zeo-PHI,zeolite,3.631300,5.341700,-30.488240,0.000071,1634.188611,1702.530000
zeo-MRE,zeolite,5.531280,6.295280,1960.353863,505.438000
zeo-AHT,zeolite,2.693240,3.891240,1917.068052,952.148000
zeo-JBW,zeolite,3.663840,4.228820,-36.370901,0.000194,1873.754558,1035.480000
zeo-BCT,zeolite,2.851480,3.739720,-13.328425,0.000000,1895.340025,1108.000000
zeo-EDI,zeolite,3.378680,5.659920,-26.096585,0.000015,1622.396553,1748.060000
zeo-CDO,zeolite,3.381800,5.717120,-24.927335,0.000010,1801.295446,1116.330000
zeo-APD,zeolite,3.567540,4.874800,-31.886813,0.000042,1794.581977,1223.550000
zeo-UOS,zeolite,4.175040,5.793000,-23.039034,0.000009,1758.048136,1250.880000
zeo-SFG,zeolite,5.322400,6.899200,-20.597334,0.000006,1759.973995,856.667000
zeo-IHW,zeolite,3.613660,6.610840,-23.179592,0.000009,1842.566990,854.480000
zeo-AET,zeolite,7.530060,8.354000,-15.835697,0.000002,1817.159355,636.358000
